Customer Age,Customer Gender,Product Purchased,Date of Purchase,Ticket Type,Ticket Status,Ticket Priority,Ticket Channel,Viewed Ticket,Ticket Solved,Customer Satisfaction Rating
27,1,GoPro Hero,29-07-2020,Technical issue,2,1,Social media,1,1,1
32,1,LG OLED,15-02-2021,Cancellation request,0,2,Chat,0,0,0
44,0,Microsoft Office,27-09-2020,Technical issue,0,1,Chat,0,0,0
66,0,Sony Xperia,22-12-2020,Refund request,0,1,Chat,0,0,0
64,0,LG Smart TV,20-11-2020,Refund request,2,1,Chat,1,1,3
54,0,Nest Thermostat,10-10-2021,Refund request,2,2,Social media,1,1,3
37,0,HP Pavilion,16-08-2021,Cancellation request,2,0,Chat,1,1,4
68,1,Microsoft Xbox Controller,14-10-2021,Technical issue,1,0,Chat,1,0,0
50,1,Nintendo Switch Pro Controller,19-11-2021,Cancellation request,1,3,Chat,1,0,0
69,0,Autodesk AutoCAD,22-12-2021,Technical issue,1,1,Social media,1,0,0
47,1,GoPro Action Camera,28-07-2020,Refund request,0,3,Email,0,0,0
27,0,Autodesk AutoCAD,31-07-2020,Technical issue,2,1,Phone,1,1,5
40,0,Apple AirPods,05-09-2021,Product inquiry,2,1,Chat,1,1,3
40,0,Sony 4K HDR TV,16-11-2020,Cancellation request,2,1,Chat,1,1,1
41,1,Lenovo ThinkPad,21-11-2021,Product inquiry,1,3,Social media,1,0,0
64,1,Xbox,12-12-2020,Billing inquiry,2,2,Email,1,1,4
57,1,Adobe Photoshop,24-04-2020,Billing inquiry,1,2,Phone,1,0,0
61,0,Microsoft Xbox Controller,02-08-2021,Technical issue,0,1,Phone,0,0,0
56,0,Apple AirPods,11-11-2021,Technical issue,1,1,Phone,1,0,0
49,1,GoPro Hero,08-08-2021,Billing inquiry,2,2,Email,1,1,5
54,0,Microsoft Office,27-06-2021,Cancellation request,1,0,Phone,1,0,0
51,1,Adobe Photoshop,06-02-2021,Technical issue,1,3,Chat,1,0,0
46,1,Canon DSLR Camera,13-02-2020,Refund request,2,2,Chat,1,1,1
27,0,Google Pixel,15-05-2021,Cancellation request,1,1,Chat,1,0,0
37,1,iPhone,26-09-2020,Refund request,0,1,Social media,0,0,0
34,1,Dyson Vacuum Cleaner,16-02-2021,Billing inquiry,2,0,Chat,1,1,4
36,0,Fitbit Charge,09-11-2020,Cancellation request,2,3,Social media,1,1,3
31,1,Xbox,16-04-2021,Billing inquiry,0,3,Email,0,0,0
37,0,Roomba Robot Vacuum,06-01-2021,Product inquiry,2,3,Chat,1,1,1
18,1,iPhone,30-06-2020,Cancellation request,0,3,Phone,0,0,0
63,1,Fitbit Charge,29-12-2020,Billing inquiry,2,0,Email,1,1,5
55,1,Google Pixel,07-01-2021,Billing inquiry,1,1,Social media,1,0,0
40,1,LG Smart TV,03-11-2020,Technical issue,1,3,Chat,1,0,0
50,1,Microsoft Office,22-03-2021,Technical issue,1,3,Phone,1,0,0
29,1,Apple AirPods,22-07-2021,Cancellation request,1,1,Email,1,0,0
24,0,PlayStation,04-10-2021,Refund request,2,0,Social media,1,1,1
57,1,Autodesk AutoCAD,11-08-2021,Technical issue,1,3,Phone,1,0,0
67,1,Microsoft Surface,02-08-2021,Technical issue,0,1,Phone,0,0,0
67,1,Canon EOS,22-01-2021,Product inquiry,0,2,Social media,0,0,0
46,0,Sony PlayStation,18-01-2020,Technical issue,2,3,Phone,1,1,2
55,1,Philips Hue Lights,10-09-2020,Technical issue,1,2,Social media,1,0,0
42,1,Nikon D,01-08-2021,Billing inquiry,0,3,Email,0,0,0
40,0,Sony Xperia,30-01-2020,Product inquiry,2,1,Email,1,1,5
57,1,Sony Xperia,15-10-2020,Refund request,1,2,Phone,1,0,0
62,0,iPhone,14-11-2021,Product inquiry,1,0,Email,1,0,0
44,0,Bose QuietComfort,27-05-2021,Technical issue,1,0,Email,1,0,0
32,1,PlayStation,24-05-2021,Refund request,0,0,Email,0,0,0
65,1,Microsoft Xbox Controller,06-12-2021,Product inquiry,0,3,Phone,0,0,0
60,0,Autodesk AutoCAD,02-10-2021,Product inquiry,2,2,Chat,1,1,5
18,1,Roomba Robot Vacuum,25-10-2020,Cancellation request,0,2,Social media,0,0,0
22,1,Xbox,18-01-2020,Product inquiry,1,2,Email,1,0,0
38,0,Samsung Galaxy,09-09-2020,Billing inquiry,2,2,Chat,1,1,5
23,1,Samsung Soundbar,15-05-2020,Technical issue,1,0,Chat,1,0,0
39,1,Dyson Vacuum Cleaner,31-05-2020,Cancellation request,1,2,Email,1,0,0
18,1,iPhone,01-08-2021,Billing inquiry,1,3,Phone,1,0,0
40,1,Asus ROG,26-01-2021,Refund request,2,3,Email,1,1,3
49,0,Dyson Vacuum Cleaner,24-02-2020,Refund request,0,2,Chat,0,0,0
58,0,Fitbit Charge,27-06-2021,Refund request,0,2,Phone,0,0,0
56,1,Dyson Vacuum Cleaner,17-07-2021,Product inquiry,1,3,Chat,1,0,0
42,1,Nintendo Switch,20-05-2021,Cancellation request,2,0,Email,1,1,2
50,1,LG Smart TV,09-06-2021,Technical issue,1,2,Email,1,0,0
33,0,Dyson Vacuum Cleaner,08-01-2020,Technical issue,2,3,Chat,1,1,4
59,1,Bose SoundLink Speaker,10-03-2020,Product inquiry,0,2,Email,0,0,0
60,1,Amazon Echo,28-07-2021,Cancellation request,2,2,Email,1,1,2
68,0,Nintendo Switch Pro Controller,29-11-2021,Refund request,0,2,Phone,0,0,0
68,1,Samsung Galaxy,24-03-2020,Product inquiry,0,1,Social media,0,0,0
27,0,Microsoft Office,12-11-2021,Cancellation request,2,2,Email,1,1,1
28,1,Sony 4K HDR TV,20-09-2020,Cancellation request,2,2,Email,1,1,1
29,0,iPhone,16-01-2021,Technical issue,0,3,Email,0,0,0
20,1,iPhone,27-11-2021,Cancellation request,2,2,Email,1,1,5
18,0,Google Nest,16-02-2020,Billing inquiry,2,1,Phone,1,1,5
39,1,HP Pavilion,17-08-2020,Refund request,0,2,Email,0,0,0
41,1,Fitbit Charge,31-07-2021,Billing inquiry,2,0,Phone,1,1,2
56,0,Amazon Kindle,11-03-2021,Billing inquiry,1,1,Chat,1,0,0
37,1,Bose SoundLink Speaker,03-03-2021,Product inquiry,0,3,Chat,0,0,0
29,1,Dell XPS,03-10-2020,Refund request,0,0,Social media,0,0,0
36,1,Samsung Galaxy,27-12-2021,Product inquiry,1,0,Email,1,0,0
63,0,Dyson Vacuum Cleaner,23-03-2021,Technical issue,1,2,Phone,1,0,0
45,0,Philips Hue Lights,27-06-2020,Refund request,0,1,Chat,0,0,0
68,1,Lenovo ThinkPad,22-06-2020,Billing inquiry,0,0,Social media,0,0,0
57,0,Xbox,28-09-2020,Refund request,1,0,Email,1,0,0
49,0,Adobe Photoshop,15-04-2021,Cancellation request,2,1,Email,1,1,3
55,1,Amazon Echo,05-05-2021,Cancellation request,1,0,Email,1,0,0
43,0,Asus ROG,13-02-2020,Billing inquiry,2,1,Email,1,1,2
49,0,LG Smart TV,24-11-2021,Product inquiry,1,3,Social media,1,0,0
65,1,PlayStation,01-05-2021,Cancellation request,0,1,Phone,0,0,0
50,0,Nintendo Switch,17-06-2021,Refund request,2,3,Phone,1,1,5
66,0,PlayStation,01-05-2020,Cancellation request,2,3,Email,1,1,2
35,1,Samsung Galaxy,30-10-2021,Product inquiry,1,0,Chat,1,0,0
46,1,Bose SoundLink Speaker,01-10-2020,Cancellation request,0,3,Email,0,0,0
21,0,Amazon Echo,20-12-2021,Technical issue,2,0,Chat,1,1,4
58,0,Adobe Photoshop,12-02-2021,Product inquiry,2,3,Chat,1,1,2
31,1,LG OLED,12-03-2021,Cancellation request,1,0,Phone,1,0,0
47,0,LG Washing Machine,09-05-2021,Cancellation request,2,3,Email,1,1,1
31,0,Sony PlayStation,13-04-2020,Technical issue,2,2,Chat,1,1,2
38,1,Roomba Robot Vacuum,26-04-2021,Billing inquiry,1,2,Chat,1,0,0
38,1,Canon DSLR Camera,05-05-2021,Cancellation request,0,3,Email,0,0,0
25,1,Canon EOS,02-04-2021,Refund request,0,0,Social media,0,0,0
46,0,Philips Hue Lights,12-10-2020,Cancellation request,1,1,Email,1,0,0
39,0,Lenovo ThinkPad,11-07-2021,Cancellation request,0,0,Email,0,0,0
22,1,Apple AirPods,06-10-2020,Billing inquiry,2,0,Social media,1,1,3
40,0,LG Washing Machine,24-10-2021,Refund request,2,2,Chat,1,1,1
64,1,Philips Hue Lights,18-03-2021,Technical issue,2,3,Email,1,1,3
29,1,Google Pixel,14-10-2020,Refund request,2,3,Email,1,1,4
45,1,Xbox,24-12-2021,Refund request,1,1,Phone,1,0,0
46,1,GoPro Hero,19-10-2021,Product inquiry,1,0,Social media,1,0,0
58,0,GoPro Action Camera,12-03-2020,Technical issue,1,1,Social media,1,0,0
55,1,Roomba Robot Vacuum,09-06-2021,Technical issue,0,1,Social media,0,0,0
52,0,HP Pavilion,29-01-2020,Cancellation request,0,0,Chat,0,0,0
20,0,Asus ROG,11-12-2020,Product inquiry,0,0,Social media,0,0,0
69,0,Nintendo Switch,29-01-2020,Technical issue,0,1,Phone,0,0,0
35,0,Dyson Vacuum Cleaner,30-11-2021,Product inquiry,1,0,Social media,1,0,0
55,1,Sony Xperia,03-02-2021,Billing inquiry,1,2,Email,1,0,0
19,1,Lenovo ThinkPad,19-07-2020,Refund request,1,2,Email,1,0,0
29,1,HP Pavilion,06-01-2020,Refund request,2,2,Phone,1,1,3
30,0,Bose SoundLink Speaker,23-10-2021,Refund request,2,3,Phone,1,1,1
34,0,Microsoft Office,11-11-2020,Cancellation request,2,1,Phone,1,1,3
24,0,HP Pavilion,21-05-2021,Billing inquiry,2,0,Social media,1,1,5
33,0,Bose QuietComfort,25-07-2020,Product inquiry,1,0,Email,1,0,0
32,1,Xbox,03-04-2020,Refund request,2,1,Email,1,1,3
41,0,Garmin Forerunner,31-01-2020,Technical issue,2,1,Chat,1,1,3
51,1,Lenovo ThinkPad,03-09-2021,Billing inquiry,0,2,Social media,0,0,0
30,0,Sony Xperia,04-08-2020,Product inquiry,2,1,Phone,1,1,1
44,1,Microsoft Office,24-12-2021,Billing inquiry,2,0,Social media,1,1,4
33,1,Sony PlayStation,11-12-2020,Refund request,0,0,Chat,0,0,0
36,1,Nest Thermostat,27-01-2020,Cancellation request,1,1,Social media,1,0,0
50,1,Lenovo ThinkPad,01-10-2021,Refund request,1,1,Email,1,0,0
37,0,LG Smart TV,05-10-2021,Technical issue,1,3,Chat,1,0,0
42,0,PlayStation,18-10-2021,Technical issue,2,1,Email,1,1,4
49,1,Sony 4K HDR TV,16-11-2021,Technical issue,1,1,Email,1,0,0
27,1,Dyson Vacuum Cleaner,21-09-2020,Cancellation request,1,2,Phone,1,0,0
25,1,Adobe Photoshop,19-04-2020,Billing inquiry,0,1,Chat,0,0,0
58,1,Google Pixel,03-06-2021,Billing inquiry,1,3,Phone,1,0,0
60,1,MacBook Pro,17-11-2021,Refund request,1,1,Email,1,0,0
34,1,Amazon Kindle,26-11-2020,Cancellation request,1,3,Social media,1,0,0
33,1,Samsung Soundbar,18-04-2021,Product inquiry,2,2,Chat,1,1,4
32,1,Google Pixel,16-03-2020,Billing inquiry,2,1,Phone,1,1,4
29,1,Roomba Robot Vacuum,17-10-2021,Refund request,1,2,Chat,1,0,0
50,1,Sony 4K HDR TV,19-03-2021,Technical issue,0,0,Phone,0,0,0
33,1,iPhone,23-04-2021,Product inquiry,1,1,Phone,1,0,0
46,0,Lenovo ThinkPad,19-01-2021,Cancellation request,1,0,Phone,1,0,0
37,0,Roomba Robot Vacuum,10-01-2021,Refund request,2,2,Phone,1,1,1
46,1,LG Smart TV,25-04-2020,Technical issue,0,3,Social media,0,0,0
70,1,iPhone,09-02-2021,Refund request,1,3,Phone,1,0,0
57,1,Fitbit Charge,14-10-2020,Product inquiry,1,0,Email,1,0,0
58,0,GoPro Hero,28-10-2021,Product inquiry,2,1,Phone,1,1,1
18,0,GoPro Hero,03-09-2021,Cancellation request,1,3,Chat,1,0,0
57,0,Samsung Soundbar,15-06-2021,Billing inquiry,2,1,Social media,1,1,2
29,1,Nest Thermostat,11-06-2020,Refund request,0,2,Social media,0,0,0
66,1,HP Pavilion,08-08-2021,Refund request,1,0,Social media,1,0,0
30,0,MacBook Pro,28-01-2021,Refund request,2,2,Chat,1,1,3
60,1,Amazon Echo,23-07-2021,Cancellation request,2,3,Chat,1,1,5
66,0,Canon EOS,19-09-2020,Product inquiry,2,1,Chat,1,1,5
51,1,Asus ROG,13-01-2021,Product inquiry,0,3,Email,0,0,0
55,1,Garmin Forerunner,16-12-2021,Refund request,0,1,Social media,0,0,0
26,1,Lenovo ThinkPad,01-04-2021,Billing inquiry,0,1,Chat,0,0,0
46,0,LG OLED,19-05-2020,Product inquiry,1,0,Phone,1,0,0
43,1,Google Nest,11-06-2020,Cancellation request,2,2,Phone,1,1,3
55,0,Sony Xperia,24-11-2020,Refund request,2,1,Phone,1,1,1
47,0,Roomba Robot Vacuum,04-11-2020,Billing inquiry,0,2,Phone,0,0,0
48,1,Nest Thermostat,27-07-2021,Billing inquiry,1,3,Email,1,0,0
38,0,Canon EOS,12-03-2021,Refund request,0,2,Email,0,0,0
62,0,Nintendo Switch Pro Controller,04-02-2020,Technical issue,2,0,Chat,1,1,1
39,0,Sony 4K HDR TV,16-01-2020,Technical issue,1,0,Phone,1,0,0
49,1,LG Smart TV,06-04-2020,Product inquiry,1,0,Social media,1,0,0
34,1,GoPro Action Camera,15-04-2021,Technical issue,0,1,Social media,0,0,0
62,0,Apple AirPods,24-12-2021,Billing inquiry,0,2,Phone,0,0,0
28,0,Asus ROG,03-03-2020,Product inquiry,0,0,Email,0,0,0
59,1,Sony 4K HDR TV,13-09-2021,Billing inquiry,0,3,Chat,0,0,0
18,1,Samsung Galaxy,03-01-2021,Technical issue,1,2,Chat,1,0,0
20,1,Nintendo Switch,02-12-2020,Billing inquiry,0,0,Chat,0,0,0
44,0,Philips Hue Lights,12-02-2021,Billing inquiry,1,3,Email,1,0,0
65,1,Canon EOS,23-09-2021,Technical issue,2,3,Social media,1,1,2
70,1,Sony Xperia,21-03-2021,Billing inquiry,2,1,Social media,1,1,5
34,1,Dyson Vacuum Cleaner,27-03-2021,Billing inquiry,1,3,Chat,1,0,0
64,1,Samsung Soundbar,05-02-2021,Cancellation request,1,3,Phone,1,0,0
67,1,Lenovo ThinkPad,27-05-2020,Refund request,1,0,Chat,1,0,0
59,0,GoPro Hero,16-11-2020,Refund request,0,1,Chat,0,0,0
35,1,PlayStation,29-03-2020,Technical issue,2,2,Chat,1,1,4
53,1,Apple AirPods,04-01-2021,Billing inquiry,2,2,Phone,1,1,4
56,0,HP Pavilion,08-03-2020,Cancellation request,1,0,Phone,1,0,0
32,0,Sony PlayStation,21-07-2020,Billing inquiry,0,0,Phone,0,0,0
66,0,Microsoft Xbox Controller,20-02-2021,Technical issue,2,3,Social media,1,1,2
65,0,Dyson Vacuum Cleaner,29-06-2020,Refund request,1,0,Chat,1,0,0
55,0,Fitbit Versa Smartwatch,31-10-2020,Technical issue,1,2,Phone,1,0,0
40,0,HP Pavilion,21-03-2021,Technical issue,0,2,Email,0,0,0
67,1,Bose SoundLink Speaker,01-02-2021,Refund request,1,2,Chat,1,0,0
65,1,Dyson Vacuum Cleaner,29-03-2020,Cancellation request,0,3,Chat,0,0,0
18,1,Canon EOS,04-12-2020,Billing inquiry,1,3,Email,1,0,0
40,0,iPhone,07-01-2021,Refund request,2,3,Phone,1,1,3
31,0,Sony Xperia,16-09-2021,Product inquiry,2,2,Social media,1,1,4
69,1,LG Smart TV,21-01-2021,Refund request,1,3,Email,1,0,0
48,0,Nest Thermostat,22-02-2020,Cancellation request,0,0,Email,0,0,0
66,0,Philips Hue Lights,25-07-2021,Technical issue,2,0,Social media,1,1,5
55,0,iPhone,26-10-2021,Billing inquiry,2,0,Social media,1,1,2
30,0,Fitbit Charge,29-05-2021,Technical issue,0,3,Chat,0,0,0
43,1,LG Washing Machine,21-05-2020,Technical issue,1,3,Chat,1,0,0
66,1,Microsoft Office,15-01-2020,Cancellation request,1,1,Phone,1,0,0
55,0,iPhone,07-04-2020,Billing inquiry,1,1,Phone,1,0,0
59,0,GoPro Hero,09-02-2020,Technical issue,1,1,Chat,1,0,0
37,1,Microsoft Xbox Controller,22-01-2020,Billing inquiry,0,1,Chat,0,0,0
44,0,Autodesk AutoCAD,22-04-2021,Refund request,1,3,Social media,1,0,0
35,0,Sony PlayStation,20-09-2021,Refund request,2,2,Chat,1,1,3
19,1,Roomba Robot Vacuum,27-07-2021,Technical issue,2,3,Phone,1,1,2
29,1,Microsoft Xbox Controller,05-12-2020,Technical issue,1,3,Social media,1,0,0
40,1,GoPro Action Camera,20-03-2020,Cancellation request,1,2,Social media,1,0,0
69,1,MacBook Pro,13-11-2021,Technical issue,1,2,Social media,1,0,0
51,1,Google Pixel,15-05-2021,Refund request,1,0,Email,1,0,0
58,1,Autodesk AutoCAD,22-11-2020,Refund request,0,2,Social media,0,0,0
58,1,Google Nest,18-07-2021,Cancellation request,1,2,Chat,1,0,0
24,1,Nintendo Switch Pro Controller,09-06-2020,Cancellation request,0,2,Social media,0,0,0
59,1,Nintendo Switch,05-02-2021,Product inquiry,0,2,Chat,0,0,0
33,0,PlayStation,14-08-2021,Billing inquiry,2,0,Social media,1,1,5
56,1,Amazon Kindle,04-05-2021,Billing inquiry,1,2,Social media,1,0,0
42,1,Canon DSLR Camera,22-01-2021,Billing inquiry,0,3,Phone,0,0,0
48,0,Microsoft Surface,11-12-2021,Product inquiry,2,1,Chat,1,1,2
52,0,GoPro Hero,23-01-2021,Product inquiry,0,1,Chat,0,0,0
46,0,Sony Xperia,28-06-2021,Refund request,2,3,Social media,1,1,3
29,0,LG OLED,27-04-2020,Cancellation request,2,1,Chat,1,1,2
20,1,Amazon Echo,03-10-2020,Technical issue,0,2,Phone,0,0,0
37,0,Google Nest,22-02-2020,Technical issue,0,0,Social media,0,0,0
69,1,Microsoft Surface,21-08-2020,Cancellation request,1,1,Phone,1,0,0
64,0,MacBook Pro,10-05-2021,Refund request,2,2,Social media,1,1,3
63,0,Xbox,08-01-2021,Billing inquiry,2,3,Phone,1,1,1
44,1,Amazon Kindle,15-07-2021,Refund request,0,3,Phone,0,0,0
43,0,LG OLED,25-10-2021,Technical issue,1,3,Chat,1,0,0
35,1,Samsung Galaxy,05-04-2020,Technical issue,0,2,Phone,0,0,0
53,0,Sony 4K HDR TV,16-04-2021,Cancellation request,0,1,Chat,0,0,0
61,1,Bose SoundLink Speaker,01-05-2021,Refund request,0,0,Chat,0,0,0
63,1,Bose QuietComfort,01-12-2021,Billing inquiry,0,1,Chat,0,0,0
39,1,Autodesk AutoCAD,26-02-2020,Billing inquiry,2,1,Chat,1,1,4
21,0,Apple AirPods,07-06-2021,Technical issue,2,0,Social media,1,1,5
40,1,PlayStation,24-06-2021,Billing inquiry,1,2,Social media,1,0,0
33,0,Bose SoundLink Speaker,08-05-2021,Product inquiry,2,3,Chat,1,1,2
52,0,Lenovo ThinkPad,11-11-2020,Product inquiry,1,0,Social media,1,0,0
64,0,Google Pixel,12-08-2021,Cancellation request,0,0,Social media,0,0,0
39,1,Canon DSLR Camera,06-01-2021,Technical issue,0,3,Social media,0,0,0
35,1,Microsoft Xbox Controller,24-03-2020,Billing inquiry,1,0,Phone,1,0,0
24,1,Amazon Kindle,06-11-2021,Technical issue,1,1,Social media,1,0,0
25,1,Nintendo Switch,23-10-2021,Technical issue,1,3,Phone,1,0,0
37,1,LG OLED,06-07-2020,Product inquiry,0,0,Email,0,0,0
54,1,Garmin Forerunner,21-10-2020,Refund request,0,2,Chat,0,0,0
30,1,Bose SoundLink Speaker,21-03-2020,Refund request,1,3,Email,1,0,0
58,1,Roomba Robot Vacuum,04-04-2020,Billing inquiry,1,0,Chat,1,0,0
26,0,HP Pavilion,27-01-2021,Cancellation request,0,2,Social media,0,0,0
35,1,Philips Hue Lights,09-12-2021,Billing inquiry,2,2,Email,1,1,2
65,0,Roomba Robot Vacuum,07-06-2021,Product inquiry,0,3,Social media,0,0,0
58,1,Philips Hue Lights,03-09-2020,Product inquiry,2,3,Phone,1,1,3
29,1,Dyson Vacuum Cleaner,20-03-2021,Refund request,0,1,Email,0,0,0
26,1,Microsoft Xbox Controller,02-04-2021,Billing inquiry,2,1,Social media,1,1,5
24,0,Apple AirPods,12-09-2020,Cancellation request,2,3,Phone,1,1,2
22,1,GoPro Hero,26-06-2020,Product inquiry,0,0,Chat,0,0,0
68,1,Canon DSLR Camera,06-10-2021,Cancellation request,1,1,Phone,1,0,0
59,1,Amazon Kindle,07-10-2020,Cancellation request,0,2,Social media,0,0,0
30,1,Canon DSLR Camera,03-05-2020,Cancellation request,0,1,Social media,0,0,0
44,0,Amazon Kindle,22-01-2020,Product inquiry,2,1,Phone,1,1,1
28,1,Bose SoundLink Speaker,26-07-2021,Cancellation request,1,1,Social media,1,0,0
53,1,Amazon Kindle,06-03-2021,Cancellation request,2,1,Chat,1,1,5
33,1,Microsoft Xbox Controller,17-08-2020,Cancellation request,0,3,Chat,0,0,0
32,1,GoPro Action Camera,05-07-2021,Refund request,2,0,Social media,1,1,2
21,1,LG OLED,05-05-2020,Technical issue,1,3,Social media,1,0,0
19,1,Fitbit Versa Smartwatch,20-04-2021,Product inquiry,0,2,Chat,0,0,0
62,1,Samsung Galaxy,17-07-2020,Technical issue,0,2,Chat,0,0,0
53,0,Nintendo Switch Pro Controller,06-09-2020,Technical issue,2,2,Social media,1,1,2
46,1,Bose QuietComfort,18-07-2020,Refund request,2,3,Chat,1,1,2
46,1,Microsoft Xbox Controller,26-06-2020,Technical issue,2,1,Email,1,1,1
18,0,Amazon Echo,04-07-2021,Product inquiry,0,0,Phone,0,0,0
30,1,GoPro Hero,15-01-2021,Cancellation request,2,2,Email,1,1,2
33,1,Fitbit Versa Smartwatch,02-09-2020,Cancellation request,1,3,Chat,1,0,0
52,0,Samsung Galaxy,15-08-2021,Cancellation request,0,2,Chat,0,0,0
18,0,Apple AirPods,03-05-2020,Technical issue,2,0,Chat,1,1,4
28,1,Nintendo Switch,10-09-2021,Billing inquiry,1,1,Email,1,0,0
29,1,Nest Thermostat,06-07-2021,Refund request,0,3,Phone,0,0,0
27,0,Nest Thermostat,09-08-2021,Cancellation request,2,1,Email,1,1,4
66,1,Adobe Photoshop,12-10-2020,Billing inquiry,0,2,Email,0,0,0
70,0,Canon DSLR Camera,24-11-2021,Refund request,2,3,Social media,1,1,3
47,1,Canon DSLR Camera,15-01-2021,Technical issue,0,3,Social media,0,0,0
66,1,LG Washing Machine,11-03-2020,Product inquiry,1,0,Phone,1,0,0
52,1,Microsoft Surface,27-01-2020,Refund request,2,0,Phone,1,1,4
69,0,GoPro Action Camera,14-07-2020,Product inquiry,1,3,Email,1,0,0
45,1,Sony PlayStation,22-11-2020,Refund request,0,0,Social media,0,0,0
58,1,Nikon D,09-08-2021,Technical issue,0,1,Chat,0,0,0
45,1,GoPro Hero,21-10-2021,Refund request,2,1,Chat,1,1,5
55,1,Apple AirPods,06-08-2020,Refund request,0,0,Phone,0,0,0
49,0,Canon EOS,09-07-2020,Cancellation request,1,1,Phone,1,0,0
21,0,Fitbit Versa Smartwatch,18-04-2020,Technical issue,2,1,Social media,1,1,2
41,0,Nintendo Switch Pro Controller,06-02-2021,Technical issue,2,1,Phone,1,1,2
63,1,Xbox,20-04-2021,Product inquiry,1,2,Email,1,0,0
36,1,Google Nest,29-06-2021,Cancellation request,0,2,Phone,0,0,0
33,0,Amazon Echo,16-10-2020,Technical issue,1,3,Phone,1,0,0
56,1,Nintendo Switch Pro Controller,16-06-2021,Technical issue,0,2,Email,0,0,0
45,0,iPhone,07-02-2021,Technical issue,2,3,Social media,1,1,3
